           id sex bt       ct group        response
dog224 dog224   1  0 3.8580312       1  1.338005667
dog225 dog225   1  0 1.9255748       3  1.569402295
dog226 dog226   0  1 2.4315970       3  0.775457233
dog227 dog227   1  0 4.1752799       1  1.367498005
dog228 dog228   0  0 4.0268643      NA  3.048834967
dog229 dog229   0  1 2.9722392       1  1.246881131
dog230 dog230   1  0 2.0171176       3  1.282233501
dog231 dog231   0  0 2.1465549       3  2.728513420
dog232 dog232   1  0 2.6614426       3  1.622885107
dog233 dog233   0  0 4.6052263       3  1.791457753
dog234 dog234   0  0 2.4011022       2  2.700410763
dog235 dog235   1  0 4.3927719       1  1.613500558
dog236 dog236   1  1 6.5074863       1  0.440491906
dog237 dog237   0  1 4.9762288      NA  1.097035159
dog238 dog238   0  1 3.4988017      NA  1.100898701
dog239 dog239   0  NA 0.6504417       3  1.758371013
dog240 dog240   1  0 3.7911279      NA  2.023739066
dog241 dog241   1  0 7.5664372       1  3.036439829
dog242 dog242   0  0 1.3984507      NA  0.751644686
dog243 dog243   1  0 3.4070059       3  1.521188490
dog244 dog244   0  0 6.0716909       3  1.326097919
dog245 dog245   1  0 5.1563681       2  2.435377153
dog246 dog246   1  0 4.0710798       1  1.327345602
dog247 dog247   0  0 4.9317815       1  1.445450685
dog248 dog248   1  1 4.4958553       1  1.341828666
dog249 dog249   0  1 0.3359022       1  1.633471474
dog250 dog250   1  1 1.9179140      NA  0.365781948
dog251 dog251   0  0 6.3109638      NA  2.510399961
dog252 dog252   1  0 4.2998804       3  2.227252425
dog253 dog253   1  0 4.1171097      NA  0.540018435
dog254 dog254   0  0 3.3619108      NA  1.677508942
dog255 dog255   1  1 2.5670902       1  1.476570077
dog256 dog256   1  1 4.9884692       1  0.985556279
dog257 dog257   1  0 4.8959792      NA  1.200203012
dog258 dog258   0  0 1.6795044      NA  2.339372076
dog259 dog259   0  0 1.9679519      NA  2.016611171
dog260 dog260   0  0 3.2425510       2  1.196453342
dog261 dog261   1  1 2.4512076       1  NA
dog262 dog262   0  0 3.9368778      NA  3.385838834
dog263 dog263   1  0 3.1108401      NA  1.739932612
dog264 dog264   0  1 3.1319289      NA  0.948840766
dog265 dog265   1  1 4.9656806      NA  0.540218729
dog266 dog266   1  0 4.3221377      NA  1.195294385
dog267 dog267   1  0 1.9761163       1  0.946685695
dog268 dog268   0  0 4.3455753       1  3.230051364
dog269 dog269   0  0 6.2396510       3  0.597406061
dog270 dog270   0  1 3.8076266       2  0.995230738
dog271 dog271   1  0 1.3252166      NA  1.756887797
dog272 dog272   0  0 3.5027997       1  2.224317850
dog273 dog273   0  0 4.6093960      NA  2.552757243
dog274 dog274   0  1 3.6768442       1  1.042744699
dog275 dog275   0  0 4.3283471      NA  0.972664519
dog276 dog276   0  1 2.9596721       1  0.670734673
dog277 dog277   0  0 4.3218397       3  1.212136120
dog278 dog278   1  0 2.8491018      NA  1.687028574
dog279 dog279   0  0 5.7458262       3  1.642396999
dog280 dog280   1  0 5.0698656       3  3.036424913
dog281 dog281   1  0 2.8250560       2  0.808381954
dog282 dog282   0  1 3.7723244       1  1.796361894
dog283 dog283   1  0 3.4986543       3  0.852394214
dog284 dog284   0  0 4.4507149       3  2.281210895
dog285 dog285   0  0 2.7887435      NA  2.257928005
dog286 dog286   1  0 3.1887582       1  2.205880326
dog287 dog287   1  0 2.9643444       3  0.870244922
dog288 dog288   0  1 1.1949516       2  1.499672965
dog289 dog289   0  0 5.3616518      NA  2.400593426
dog290 dog290   1  0 3.2361207       1  0.375336181
dog291 dog291   1  1 2.8980394      NA  0.229928303
dog292 dog292   1  0 3.3850828       3  2.161502484
dog293 dog293   0  0 3.2455279      NA  1.289057756
dog294 dog294   1  1 4.0379317       2  1.277477780
dog295 dog295   0  0 4.2922595       1  2.210970721
dog296 dog296   0  1 3.7494866       1 -0.006571270
dog297 dog297   1  0 2.0654145      NA  1.387556297
dog298 dog298   1  1 4.7898165       1  0.898419659
dog299 dog299   0  0 3.9581345       3  2.323861046
dog300 dog300   0  1 3.9905472       1  0.533376671
dog301 dog301   0  0 5.1852421      NA  0.927552966
dog302 dog302   1  0 3.6338236      NA  1.886685516
dog303 dog303   0  0 3.3520388      NA  2.431632549
dog304 dog304   0  0 5.5269376       1  1.120200787
dog305 dog305   1  0 4.6072114       1  1.959145451
dog306 dog306   0  1 2.7842965       1  0.784889666
dog307 dog307   0  0 4.0193989       1  1.761790709
dog308 dog308   0  0 3.3734709       1  0.878019388
dog309 dog309   1  0 3.7654250       3  1.750228123
dog310 dog310   0  0 5.0209703      NA  2.307757644
dog311 dog311   1  0 4.4578172       1  2.102060655
dog312 dog312   0  0 1.9595208       2  0.658382313
dog313 dog313   1  0 5.7184971       3  1.408273893
dog314 dog314   1  0 4.2080166       3 -0.335442246
dog315 dog315   0  0 2.3028404      NA  2.600445006
dog316 dog316   1  1 3.6021951       1  0.741205305
dog317 dog317   0  0 3.7777319       1  1.347991068
